decimalLatitude,decimalLongitude,year
54.972346,-5.179356,2022.0
52.125869,-10.109911,2022.0
47.271257,-2.476402,2022.0
45.628156,-1.062833,2022.0
41.839089,-8.875937,2022.0
43.565163,-6.828318,2022.0
43.484302,-1.563392,2022.0
31.51451,-9.77198,2023.0
30.55135,-9.73916,2023.0
37.074458,-8.303817,2022.0
41.309707,-8.742638,2022.0
33.61123,-7.65217,2023.0
53.319644,-4.660771,2022.0
35.7815,-5.93038,2023.0
43.394823,-4.440069,2022.0
37.520117,-8.789007,2022.0
40.178473,-8.905834,2022.0
48.546292,-4.746773,2022.0
36.661621,-6.404615,2022.0
39.014175,-9.422721,2022.0
53.750704,-9.904551,2022.0
34.03116,-6.84438,2023.0
50.314965,-4.108999,2022.0
36.063726,-5.727717,2022.0
43.043331,-9.290875,2022.0
34.323,135.116,2016.0
34.323,135.116,2006.0
34.265,135.061,2009.0
34.285,135.068,1999.0
34.3315,135.1535,1992.0
34.3315,135.1535,2016.0
34.3075,135.0775,2005.0
34.3315,135.1535,2009.0
34.285,135.068,2010.0
34.3315,135.1535,2000.0
34.323,135.116,2015.0
34.3315,135.1535,2007.0
34.285,135.068,2007.0
34.315,135.095,2013.0
34.3315,135.1535,1990.0
34.265,135.061,2007.0
34.285,135.068,1997.0
34.3315,135.1535,2015.0
34.3075,135.0775,2002.0
34.323,135.116,2005.0
34.3075,135.0775,1987.0
34.285,135.068,2009.0
34.265,135.061,1996.0
34.3315,135.1535,1994.0
34.265,135.061,2013.0
34.285,135.068,2004.0
34.323,135.116,1992.0
34.3315,135.1535,2018.0
34.315,135.095,2002.0
34.3075,135.0775,2010.0
34.285,135.068,2019.0
34.285,135.068,2012.0
34.265,135.061,2004.0
34.3315,135.1535,2002.0
34.323,135.116,1995.0
34.285,135.068,1987.0
34.323,135.116,2020.0
34.323,135.116,2018.0
34.323,135.116,2008.0
34.3075,135.0775,2008.0
34.285,135.068,2002.0
34.3315,135.1535,1993.0
34.265,135.061,2001.0
34.315,135.095,2000.0
34.3315,135.1535,2017.0
34.323,135.116,2019.0
34.285,135.068,2011.0
34.3075,135.0775,1993.0
34.3075,135.0775,2015.0
34.265,135.061,1989.0
34.265,135.061,2016.0
34.3315,135.1535,1998.0
34.3315,135.1535,2004.0
34.3315,135.1535,2020.0
34.315,135.095,2006.0
34.285,135.068,1991.0
34.3315,135.1535,1986.0
34.315,135.095,1994.0
34.285,135.068,2015.0
34.265,135.061,2017.0
34.3315,135.1535,2012.0
34.3315,135.1535,1999.0
34.323,135.116,1998.0
34.3075,135.0775,2011.0
34.3315,135.1535,1996.0
34.265,135.061,2014.0
34.315,135.095,2004.0
34.3315,135.1535,2019.0
34.265,135.061,1986.0
34.315,135.095,1991.0
34.285,135.068,2013.0
34.3315,135.1535,2003.0
34.323,135.116,1996.0
34.3315,135.1535,2006.0
34.315,135.095,2011.0
34.265,135.061,1992.0
34.285,135.068,2017.0
34.323,135.116,2012.0
34.323,135.116,2003.0
34.3075,135.0775,1999.0
34.265,135.061,2005.0
34.285,135.068,1995.0
34.3315,135.1535,1989.0
34.265,135.061,1994.0
34.265,135.061,2020.0
34.3315,135.1535,2014.0
34.315,135.095,2009.0
34.323,135.116,1988.0
34.265,135.061,1991.0
34.3075,135.0775,2018.0
34.285,135.068,2016.0
34.323,135.116,2011.0
34.3315,135.1535,2005.0
34.323,135.116,2001.0
34.3315,135.1535,1987.0
34.315,135.095,1997.0
34.3075,135.0775,2019.0
34.3315,135.1535,2013.0
34.265,135.061,2018.0
34.3075,135.0775,1996.0
-33.9184,122.00155,2002.0
-34.0089,122.79839,2003.0
-34.13652,122.23687,2002.0
-34.06222,121.97643,2002.0
-34.13904,122.25777,2002.0
-33.96131,122.02914,2002.0
-34.11089,122.23125,2002.0
-33.9925,122.82339,2003.0
-34.05818,121.99415,2002.0
-34.05555,121.95455,2002.0
-33.92222,121.99422,2002.0
-34.11121,122.24965,2002.0
-34.06676,122.00018,2002.0
-34.0008,122.65569,2003.0
-34.04318,121.97583,2002.0
-34.1003,123.16539,2003.0
-33.9715,121.97662,2002.0
-33.95859,122.00322,2002.0
-34.01924,121.60387,2002.0
-34.02564,121.59622,2002.0
-34.06027,122.01035,2002.0
-34.0036,122.65119,2003.0
-34.02571,121.60598,2002.0
-34.01893,121.61888,2002.0
-33.97086,121.9883,2002.0
-34.0886,123.17459,2003.0
